                 5.40531E-01 0.0010
                 3.19940E-01 0.0015
                 1.61661E-01 0.0022
                 4.68752E-02 0.0043
                 1.20547E-02 0.0084
                 5.41590E-01 0.0010
                 3.10827E-01 0.0015
                 1.66669E-01 0.0022
                 5.06792E-02 0.0041
                 1.34151E-02 0.0080
                 5.42082E-01 0.0010
                 3.05958E-01 0.0015
                 1.68789E-01 0.0022
                 5.29342E-02 0.0040
                 1.44002E-02 0.0078
                 5.42848E-01 0.0010
                 3.01221E-01 0.0015
                 1.70829E-01 0.0021
                 5.55296E-02 0.0039
                 1.52680E-02 0.0076
                 5.42310E-01 0.0010
                 2.96951E-01 0.0015
                 1.72239E-01 0.0021
                 5.68735E-02 0.0039
                 1.62458E-02 0.0074
                 5.43380E-01 0.0010
                 2.94212E-01 0.0016
                 1.73708E-01 0.0021
                 5.86069E-02 0.0038
                 1.68530E-02 0.0073
                 5.43758E-01 0.0010
                 2.91161E-01 0.0016
                 1.74819E-01 0.0021
                 6.02889E-02 0.0038
                 1.74892E-02 0.0071
                 5.44181E-01 0.0010
                 2.89074E-01 0.0016
                 1.75386E-01 0.0021
                 6.17076E-02 0.0038
                 1.80143E-02 0.0070
                 5.44063E-01 0.0010
                 2.85014E-01 0.0016
                 1.77122E-01 0.0021
                 6.31124E-02 0.0037
                 1.88151E-02 0.0069
                 5.43385E-01 0.0010
                 2.82983E-01 0.0016
                 1.76914E-01 0.0021
                 6.42084E-02 0.0037
                 1.92788E-02 0.0068
                 5.44466E-01 0.0010
                 2.80897E-01 0.0016
                 1.77765E-01 0.0021
                 6.56243E-02 0.0036
                 2.01795E-02 0.0067
                 5.44399E-01 0.0010
                 2.78566E-01 0.0016
                 1.78703E-01 0.0021
                 6.63726E-02 0.0036
                 2.07572E-02 0.0066
                 5.43772E-01 0.0010
                 2.76533E-01 0.0016
                 1.78850E-01 0.0021
                 6.73898E-02 0.0036
                 2.09996E-02 0.0065
                 5.44446E-01 0.0010
                 2.74749E-01 0.0016
                 1.79215E-01 0.0021
                 6.88669E-02 0.0035
                 2.16145E-02 0.0064
                 5.44401E-01 0.0010
                 2.72826E-01 0.0016
                 1.79780E-01 0.0021
                 6.95746E-02 0.0035
                 2.22192E-02 0.0063
                 5.44005E-01 0.0010
                 2.70985E-01 0.0016
                 1.80127E-01 0.0021
                 7.00811E-02 0.0035
                 2.28125E-02 0.0062
                 5.43829E-01 0.0010
                 2.69603E-01 0.0017
                 1.80283E-01 0.0021
                 7.06109E-02 0.0035
                 2.33318E-02 0.0062
                 5.43324E-01 0.0010
                 2.67572E-01 0.0017
                 1.80245E-01 0.0021
                 7.17088E-02 0.0035
                 2.37989E-02 0.0061
                 5.43772E-01 0.0010
                 2.66062E-01 0.0017
                 1.80643E-01 0.0021
                 7.29056E-02 0.0034
                 2.41610E-02 0.0061
                 5.43286E-01 0.0010
                 2.63883E-01 0.0017
                 1.80753E-01 0.0021
                 7.38119E-02 0.0034
                 2.48380E-02 0.0060
                 5.43331E-01 0.0010
                 2.62369E-01 0.0017
                 1.80781E-01 0.0021
                 7.46261E-02 0.0034
                 2.55559E-02 0.0059
                 5.42808E-01 0.0010
                 2.60715E-01 0.0017
                 1.80240E-01 0.0021
                 7.56401E-02 0.0034
                 2.62132E-02 0.0059
                 5.43057E-01 0.0010
                 2.59215E-01 0.0017
                 1.80930E-01 0.0021
                 7.62899E-02 0.0034
                 2.66222E-02 0.0058
                 5.43173E-01 0.0010
                 2.57673E-01 0.0017
                 1.81157E-01 0.0021
